idPessoaQueSegue,idPessoaQueESeguida,grauAmizade,dataInicioQueSegue,dataFimQueSegue
81,124,1,2013-07-05,2028-06-19
40,113,0,2013-01-18,2028-11-05
83,91,1,2013-10-22,2030-05-19
110,124,2,2013-03-16,2028-07-08
34,90,0,2013-02-14,2027-12-02
88,150,0,2010-12-30,2029-01-11
73,45,2,2012-03-02,2028-01-04
95,67,2,2011-07-14,2028-11-21
67,62,2,2012-03-12,2028-11-26
122,64,0,2013-04-02,2029-04-01
112,93,0,2012-10-19,2030-11-10
135,90,2,2012-01-25,2030-09-24
119,42,1,2011-11-29,2028-03-22
24,61,0,2012-11-26,2027-01-01
82,37,2,2014-01-12,2029-09-14
2,127,2,2013-03-24,2029-11-11
15,142,2,2014-06-13,2027-03-16
127,148,0,2011-10-01,2029-07-03
98,104,1,2014-08-26,2027-12-13
104,83,0,2013-10-26,2030-04-26
78,102,1,2011-08-26,2028-04-09
7,32,1,2014-02-17,2029-03-12
31,89,1,2013-02-21,2030-06-30
80,98,2,2011-08-28,2028-09-18
20,1,1,2013-09-30,2029-07-28
100,10,0,2012-08-18,2027-07-20
71,76,1,2010-12-18,2029-09-05
72,12,0,2014-02-21,2028-12-31
16,135,0,2012-10-30,2027-11-12
36,14,1,2014-03-01,2029-08-18
78,72,1,2011-03-27,2029-01-02
112,37,2,2014-07-19,2027-04-30
106,148,1,2011-10-11,2027-04-14
98,70,2,2012-06-06,2028-02-25
136,38,2,2014-10-14,2030-07-14
89,113,2,2014-09-05,2029-03-29
79,19,2,2012-01-30,2028-02-19
86,87,0,2012-06-01,2027-09-14
136,24,0,2014-02-20,2029-11-04
63,29,2,2011-01-22,2028-11-24
93,69,2,2014-04-06,2029-11-19
92,100,0,2011-10-27,2027-01-25
26,31,1,2011-12-06,2030-08-21
47,5,1,2012-02-03,2030-03-15
106,61,0,2014-06-09,2030-07-14
31,43,1,2014-06-09,2029-08-21
20,56,0,2013-10-08,2027-05-05
74,57,0,2013-07-31,2029-11-21
78,108,2,2011-10-17,2029-07-04
98,28,0,2011-05-21,2029-11-13
110,147,0,2012-03-15,2028-12-26
127,89,2,2013-02-21,2027-10-31
89,107,0,2011-07-29,2030-10-05
76,35,0,2014-06-14,2027-04-30
137,98,1,2013-07-06,2030-07-27
16,50,1,2013-01-22,2029-11-15
61,55,1,2011-08-19,2029-08-03
140,55,2,2011-07-28,2029-02-07
39,96,0,2011-11-14,2027-11-09
108,11,0,2013-02-26,2027-07-28
131,104,2,2013-08-25,2027-05-02
103,118,1,2013-01-19,2026-12-29
43,127,1,2011-08-08,2027-12-26
1,42,2,2013-04-18,2028-04-25
130,12,0,2013-03-19,2030-05-17
84,128,0,2011-12-24,2027-03-17
138,111,2,2011-07-24,2027-05-19
19,75,2,2011-10-08,2028-05-20
8,10,0,2013-09-24,2028-05-09
57,134,2,2012-03-27,2030-03-05
5,99,2,2011-12-30,2027-03-28
55,1,2,2014-08-23,2026-12-27
135,55,0,2013-03-04,2029-08-10
132,117,2,2014-10-11,2029-08-16
1,36,1,2014-09-17,2029-05-01
91,15,1,2012-12-19,2027-03-02
102,149,2,2013-05-23,2028-09-12
138,2,1,2014-03-29,2029-01-16
107,92,1,2012-06-13,2028-09-09
122,129,0,2011-10-28,2030-07-23
84,115,2,2012-07-16,2030-06-27
117,57,1,2012-08-20,2029-05-20
112,88,0,2013-11-23,2028-11-24
110,42,2,2013-02-04,2027-05-14
12,27,1,2013-05-02,2030-03-01
150,62,1,2013-10-21,2029-02-26
40,126,1,2012-12-12,2027-01-29
105,72,1,2014-02-19,2030-08-17
66,126,2,2011-04-16,2027-02-28
35,3,0,2011-11-18,2027-05-01
11,91,1,2013-11-01,2027-06-14
8,31,0,2014-08-20,2027-03-09
12,122,2,2013-09-01,2028-07-13
34,116,1,2011-06-18,2029-01-21
38,103,2,2011-10-03,2027-06-12
82,150,0,2012-05-24,2030-04-28
58,84,1,2011-12-19,2028-06-29
17,122,1,2012-04-29,2028-08-01
25,132,0,2012-06-23,2027-12-10
98,13,1,2010-12-08,2030-10-05
134,34,1,2012-03-31,2027-10-02
112,135,1,2014-03-27,2030-05-07
16,90,2,2013-03-06,2027-09-17
25,111,0,2014-06-06,2030-01-17
11,113,2,2011-09-27,2030-11-21
81,115,2,2011-10-01,2028-03-18
99,118,2,2012-01-24,2029-12-02
108,139,2,2011-06-19,2027-02-18
95,117,2,2014-11-05,2030-11-10
120,82,2,2011-11-04,2030-11-16
45,49,2,2014-03-24,2030-04-14
